Don't change any of these headers!,Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
,Title To Be Determined; A tale of graphs and Markov chains,09-19-2015,14:30,15:00,PythonAnywhere Room (CC1.3),,"Gary Martin

In the runup to PyconUK 2014, I made the following ill-advised statement in an IRC channel: ""I feel like I should find something to talk about at PyconUK. I wish I had something interesting to talk about."" Nine seconds later someone replied ""create a markov chain to generate a talk from the names of the talks at pycon and europython, then talk about how you did that, using a title it generates as the title of the talk.""

Challenge accepted. This is that talk, admittedly one year late.

In this talk I will briefly describe Markov Chains as a means to simulate conversations and graph databases as a means to store Markov Chains. After this, I will discuss various considerations for creating interesting candidate responses in conversations, along with the challenges of too little and too much data. Finally, I will demonstrate my implementation and generate the title of this talk."
,Shipping your application using Conda,09-19-2015,14:30,15:00,Osper Room (CC1.4),,"Floris Bruynooghe

Shipping your Python application to customers has always been an
interesting challenge.  Many Operating Systems ship with a Python
version, but they only ship that to support their applications and it
will probably miss dependencies you need or be the wrong version.  So
you need to build and ship your own Python environment, but one which
can work on all these different platforms.  This is never easy.

Recently Continiuum Analytics have released their Conda package
manager as open source, which is very well suited to address this
problem.  It has support for building and distributing binary packages
and is capable of creating a stand-alone environment for your
application with no or minimal dependencies on the host OS.  But even
starting from a good tool there are still a lot of tricks to building
a good Python distribution.  This talk will concentrate on UNIX
platforms and dive into the details of what needs to be done to create
a portable distribution.  It will then discuss how to fully bootstrap
such a distribution using Conda."
,Plenary,09-19-2015,15:00,15:30,PythonAnywhere Room (CC1.3),,
,Wrap up,09-19-2015,15:00,15:30,Bank of America Education Track (Simulation Centre),,
,Lightning PyKids UK,09-19-2015,15:30,16:00,PythonAnywhere Room (CC1.3),,
,PyCon UK Society AGM,09-19-2015,16:00,16:30,PythonAnywhere Room (CC1.3),,
,Teaching youngsters to code with pgzero on Raspberry Pi,09-19-2015,16:30,17:00,PythonAnywhere Room (CC1.3),,"Tim Golden

I've set up a short series of workshops to help a small group of 13-15-year-old boys to learn how to code with a small element of physical computing thrown in. This talk will describe the reasons for the setup and approach I used, and will discuss the outcomes: what worked; what didn't; and what I might do differently."
,OOD Rules,09-19-2015,16:30,17:00,Osper Room (CC1.4),,"Hamish Downer

We all want to keep our code comprehensible and easy to test, change, reuse and extend - it's easy(er) if you follow the OOD Rules.

This is based on my experience of trying to follow ""The Rules"" (of Object Orientated Design) by the wonderful Sandi Metz of the Ruby world. http://poodr.com/ and https://www.youtube.com/watch?v=npOGOmkxuio"
,Scrapy Workshop Part 2,09-19-2015,16:30,17:30,YPlan Room (CC1.8),,"Juan Riaza

If you want to get data from the web, and there are no APIs available, then you need to use web scraping! Scrapy is the most effective and popular choice for web scraping and is used in many areas such as data science, journalism, business intelligence, web development, etc.

This workshop will provide an overview of Scrapy, starting from the fundamentals and working through each new topic with hands-on examples.

Participants will come away with a good understanding of Scrapy, the principles behind its design, and how to apply the best practices encouraged by Scrapy to any scraping task.

Goals:

- Set up a python environment.
- Learn basic concepts of the Scrapy framework."
,Open Space,09-19-2015,16:30,17:00,LaterPay Learning Space (Bistro),,
,Getting started with testing scientific programs part 2,09-19-2015,16:30,18:00,The Software Sustainability Institute Room (CC2.1),,"Martin Jones

When writing programs for scientific research, we tend to be focussed on getting results, so testing is generally not a priority. Often, this means that our data-processing pipelines end up incorporating programs that don't have test suites. Examples of high-profile retractions due to software errors (e.g. http://www.sciencemag.org/content/314/5807/1856.full) illustrate the dangers of this approach. 

This session will be a gentle introduction to testing, aimed at people writing scientific software who would like to start taking advantage of automated testing. We'll start with Python’s built-in tools and moving on to using the Nose testing framework. We’ll look at the problems that testing can solve, and see some best-practises for writing tests.

####Goals

The goal of this training session is for attendees to come away with (1) an understanding of some basic testing concepts, (2) some hands-on experience of running tests and interpreting the output, and (3) an idea of how to start applying these tools to their own projects.

####Who should attend this session
Attendees should have a basic knowledge of Python and should be familiar with the idea of functions, conditions and exceptions. They should also have the Nose package installed (pip install nose should work in most cases).

####What to do before this session
If you plan to attend this workshop, you can make things run smoothly by making sure that you have the `nose` module installed. Follow [the instructions on the nose website](https://nose.readthedocs.org/en/latest/). You'll also need internet access in order to download the example files, so make sure you can connect to the conference wifi."
,PyKids Organisers Tidy up,09-19-2015,16:30,18:00,Bank of America Education Track (Simulation Centre),,
,Dispelling py.test magic,09-19-2015,17:00,17:30,PythonAnywhere Room (CC1.3),,"Tomek Paczkowski

This short talk will look under the hood of how py.test uses assertion
statement rewriting to give users a better, more pythonic testing experience. 

Usually in Python, assertion statements are quite simple and tedious to work
with, where a simple snippet of code like this:

    def double(x):
        return x * 2
    expected = 5
    assert double(2) == expected

finishes with message that does not include any context:

    Traceback (most recent call last):
      File ""t.py"", line 5, in <module>
        assert double(2) == expected
    AssertionError

With py.test, we get a lot more information with all intermittent values nicely
described:

    t.py:5: in <module>
        assert double(2) == expected
    E   assert 4 == 5
    E    +  where 4 = <function double at 0x1033add08>(2)

During this talk you will learn about all the ingredients needed to
reverse-engineer py.test behaviour, using import hooks described in PEP 302,
and the ast module from standard library. We will try to use these hidden gems
in a broader context, outside of testing."
,Chromebooks in education - the next five years,09-19-2015,17:00,17:30,Osper Room (CC1.4),,"Jonathan Fine

North American schools will, in 2015, buy 3.6 million chromebooks, out of global sales of 7.3 million (and 8 million predicted for 2016).  In this market they are outselling iPads and will soon challenge Microsoft.  Perhaps Europe will follow.

This talk will give a social, economic and technical survey of chromebooks, looking ahead to the next five years.  A major problem is using chromebooks as a platform for learning Python. This is because, like iPhones, they are locked down (except that they support a 'developer mode' that allows your own version of Linux to be run as a guest operating system).

This year I replaced my laptop with a chromebook."
,PSF Reception,09-19-2015,17:00,18:00,LaterPay Learning Space (Bistro),,
,PyCon Namibia,09-19-2015,17:30,18:00,PythonAnywhere Room (CC1.3),,
,The Fabric that holds the cloud together,09-19-2015,17:30,18:00,Osper Room (CC1.4),,"Konstantin Benz

What's this session about?
Fabric is a Python library that offers a simple API to manage remote connections to distant servers and PCs via SSH protocol. Although it is a simple library, fabric is an extremely powerful tool for managing virtual machines in the cloud. Fabric can be used to login to virtual machines, upload files to them, install software packages on them or download files of them. Furthermore fabric can be extended to a fully-fledged (but still lightweight) configuration management tool. Fabric can be combined with the Python cuisine library and Python's ""native"" capabilities like serializing objects, writing data to JSON files and manipulating regular expressions. By employing this capabilities almost every VM administration task can be automated. VMs can be connected to each other, they can authenticate with each other and they can communicate to each other. In short: fabric is the ""glue"" that holds your VM environment together. If you're involved into DevOps, fabric is your tool to manage the cloud. You will get to know to do this in this session.

Overview
In this talk we will show you fabric's capability to manage and configure virtual machines in the popular Python-based cloud operating system OpenStack. Thereby we will show you how to do password-based and public key authentication with fabric, remote software installation with package managers, management of users and groups, management of file permissions, file uploads and downloads, configuration file manipulation with regular expressions (Python re module), serialization with pickle or JSON and manage communication between VMs. 

After this session you will know
* How to connect to OpenStack virtual machines via fabric API
* How to create private/public keypairs and authenticate to virtual machines
* How to combine fabric and cuisine to configure virtual machines
* How to use the Fabric API to employ package managers (like apt, yum, zypper, pacman) which install software packages on virtual machines
* How to add users and groups via Fabric to your virtual machines and set the right permissions to files and directories
* How to upload files to virtual machines or download files from virtual machines to your local computer
* How to use regular expressions and configuration file templates to create custom configuration files
* How to serialize objects with pickle or JSON and use serialization let VMs communicate to each other"
,X,09-19-2015,17:30,18:00,YPlan Room (CC1.8),,
,The Lightning Talk Show,09-19-2015,18:00,19:15,PythonAnywhere Room (CC1.3),,
,Break,09-19-2015,19:15,19:30,PythonAnywhere Room (CC1.3),,
,The PyCon UK Dinner (Ticket required),09-19-2015,19:30,23:59,PythonAnywhere Room (CC1.3),,
,Alt Party (TBA),09-19-2015,19:30,23:59,The Software Sustainability Institute Room (CC2.1),,
,Breakfast,09-20-2015,08:00,09:00,Cafeteria,,
,Opening Plenary,09-20-2015,09:00,09:15,PythonAnywhere Room (CC1.3),,
,Keynote: Naomi Ceder - Confessions of a True Impostor (A Survival Guide),09-20-2015,09:15,10:00,PythonAnywhere Room (CC1.3),,
,Simplicity Is A Feature,09-20-2015,10:00,10:30,PythonAnywhere Room (CC1.3),,"Cory Benfield

When you talk to software professionals, you come away with the idea that we have a case of feature-itis. An enormous number of people evaluate software in terms of the length of feature lists and functionality. People dismiss software with fewer features as “underpowered”. And how many times have you heard software devalued because “I could build that”?

And yet, intuitively we know that’s not always true. urllib3 has more features than requests, but people overwhelmingly prefer to use requests. Android has more features than iOS, but Android hasn’t demolished iOS.

The reason for this is that simplicity is a powerful advantage. This talk will explain what is meant by simplicity, how to judge software simplicity, and how to approach building simple tools. It’ll also talk about how to structure your code to give the optimum balance of simplicity and flexibility, to keep yourself and your users happy down the line."
,Python and PostgreSQL a Wonderful Wedding,09-20-2015,10:00,10:30,Osper Room (CC1.4),,"Stephane Wirtel

Python and PostgreSQL, two tools we like to use for our projects but do you know everything about them?

The talk will give an overview of psycopg2, Peewee, SQLAlchemy, Alembic and multicorn, PL/Python, these libraries can be used with PostgreSQL.

- psycopg2, the well known connector, this basic component is really useful, well documented and battle-tested and used by the most famous toolkits of the Python ecosystem.
- Peewee, a minimalist ORM for Python, clear and brief, this ORM can be used if you want create a software with a minimalist ORM.
- SQLAlchemy, a Python SQL toolkit and Object Relational Mapper, you can use this library to create your models and interact with them.
- Alembic, a lightweight database migration tool for usage with SQLAlchemy, allows to create some migration scripts for your project.
- multicorn is a Python wrapper over the Foreign Data Wrapper of PostgreSQL
- PL/Python, a procedural language for PostgreSQL, allows to write functions in the Python language.

You can find this talk on  https://speakerdeck.com/matrixise/python-and-postgresql-a-wonderful-wedding-english"
,Building Async MicroServices,09-20-2015,10:00,12:30,YPlan Room (CC1.8),,"Norberto Leite

Over the course of the 2.5 hours of this workshop you will learn how to leverage both Python and MongoDB to build highly scalable, asynchronous applications based on micro services architecture. We will be building from scratch several different ""exotic"" services, using a variety of datasets, that together we can mashup into a consolidated application using our own laptops. 

We will start by introducing several  technologies that we will be using (e.g. Python, Tornado, MongoDB, AngularJS) and take a ten-thousand foot  overview of micro services architecture.
In the second half of the workshop, we will break into teams that will each take charge in implementing a micro services that will comprise our final application. 

This a fully hands-on workshop.

Learning objectives: 
Benefits of micro service architectures
MongoDB schema design 
MongoDB query optimization and profiling 
Basic understanding of AngularJS 
Flask as REST API platform

Target Audience:
This workshop is recommended to software developers eager to understand more about MongoDB and how to build async calls. Coding skills and basic understanding of Python is required. Prior experience with AngularJS and Tornado is welcomed.

Technical Requirement:
The attendee should bring their own laptop with MongoDB and Python (>2.7) installed. One should have administration grants over their system because we will need to expose ports and other communications to the network. The datasets and project instructions will be provided on site."
,Open Space,09-20-2015,10:00,10:30,LaterPay Learning Space (Bistro),,
,"Tit for Tat, Evolution, Game Theory and the Python Axelrod Library",09-20-2015,10:00,10:30,The Software Sustainability Institute Room (CC2.1),,"Vince Knight

This talk will begin with the origin of species. More precisely with a discussion of Darwin's theory of evolution and how Game Theory has been used to explain/illustrate aspects of cooperation in complex dynamics.

In 1980, professor Robert Axelrod created a computer tournament inviting submissions of code snippets that would compete against each other. A large amount of academic study has concentrated on the outcomes of this experiment. The particularity of the outcome, was that even when the tournament was repeated with a much larger number of strategies, a very simple strategy was victorious: Tit for Tat. This strategy tries it's best to cooperate with other strategies!

The talk will briefly discuss all of this but will concentrate on a new Python library (`pip install axelrod`). This project, hosted on github allows anyone to recreate the tournament but also (and arguably more importantly) submit strategies via pull request!

It is anticipated that this talk would be appreciated by coders of all levels as it gives a very low entry level for a contribution to an open source project. It should also be of interest to the more experienced coders as it is hoped that novel strategies will be devised and submitted. Indeed, historically strategies have been mainly devised by mathematicians and economists, surely the pyconuk attendees will bring something new to the repository?

Finally, for those who are perhaps not interested in 'playing along' the talk will also describe the newest addition to the project which is a Django project aiming to bring this study of evolution to a popular audience."
,Here be Dragons - Writing Safe C Extensions,09-20-2015,10:30,11:00,PythonAnywhere Room (CC1.3),,"Paul Ross

Writing Python C Extensions can be daunting; you have to embrace not just C but Python's C API, which is huge. Not only do you have to worry about just your standard malloc() and free() but now you also have to contend with how CPython manages its memory.

This talk describes what you need to know to write fast ,reliable Python extensions in 'C'. It demonstrates some of the pitfalls you can encounter and some simple and robust coding patterns that you can use to avoid them. After this talk you will be able to write Python extensions with confidence.

This talk is largely based on [this material][1] and some hard won industrial experience.

  [1]: https://github.com/paulross/PythonExtensionPatterns"
,Python powered Nukes,09-20-2015,10:30,11:00,Osper Room (CC1.4),,"Babak Khataee and Dan Milburn

NukeStudio is a digital compositing tool used throughout the visual effects industry. Our talk will try to cover how our Python bindings let users use NukeStudio as an environment for making their own tools for video processing and compositing. This will involve going through a couple of examples before going onto discussing the structure/design of the bindings and how they also enable us to use NukeStudio in other contexts."
,Open Space,09-20-2015,10:30,11:00,LaterPay Learning Space (Bistro),,
,Ship Data Science Products!,09-20-2015,10:30,11:00,The Software Sustainability Institute Room (CC2.1),,"Ian Ozsvald

Building and shipping working Data Science and scientific products is hard - learn from 10 years of Ian's experience at ModelInsight.io to find efficient ways through the mess of bad data, complicated data workflows and weakly designed code through to successfully deployed projects. 

This talk will include ways of getting data, cleaning and debugging it, approaches to deployment and various tips I've picked up along the way that'll save you lots of time.  

If you're fresh out of academia and want to do science then this will open your eyes to how 'stuff works in industry'. If you're in a growing data science team and you want to do more science and spend less time fighting fires - this talk is definitely for you. Be more effective, stop fighting fires and burning time.

Ian Ozsvald is co-founder of the 1,500+ member PyDataLondon meetup and conference series, a published O'Reilly author, international speaker and teacher and he runs a 10 year old Data Science consulting group in London (ModelInsight.io)."
,How (not) to argue - a recipe for more productive tech conversations,09-20-2015,11:00,11:30,PythonAnywhere Room (CC1.3),,"Harry Percival

If you've spent any time in technology, you will have come across the classic phenomenon of the unproductive technical debate -- and not just bikeshedding.  Much of our technical debate seems to end up full of cognitive dissonance, ego, the cherry-picking of evidence, talking at cross purposes, and argument for its own sake.

This talk will attempt to diagnose the roots of this disfunction, and provide some pointers towards how to engage in more constructive dialogue.

Keywords:  Torvalds, Socrates, Jonathan Haidt,  Djangogirls, Cognitive Behavioural Therapy."
,Testing applications for django CMS,09-20-2015,11:00,11:30,Osper Room (CC1.4),,"Iacopo Spalletti

Testing applications integrated with django CMS can be complex with a lot of boilerplate code and some dark corners
This talk will try to make it clearer and easier to write tests and will present tools to reduce the effort and the boilerplate"
,Open Space,09-20-2015,11:00,11:30,LaterPay Learning Space (Bistro),,
,iCE: Interactive cloud experimentation,09-20-2015,11:00,11:30,The Software Sustainability Institute Room (CC2.1),,"George Lestaris

In the cloud-computing era, many technologies like Puppet, chef, ansible, etc arose to take care of setting up, maintaining and provisioning virtual machine clusters. However these tools do not prove to be practical for cases where the user wants to test a deployment or try a small experiment involving many VMs in the cloud. Additionally they lack interactiveness and the user is unable to hijack or influence the deployment process during runtime. Python iCE is a tool that aims to enable interactive cloud experimentation. It can deploy VM clusters in EC2-compatible public clouds and allow the user to manage them through SSH. It formalises an experiment as a Python script with fabric tasks which can run on every or selected VMs in a cluster. It also integrates with IPython and it has its own shell that allows for interactive handling of the VMs. iCE is built with well-established Python libraries like IPython, boto and fabric.

iCE comes with a lightweight agent that registers a VM to an experiment’s pool. This agent will run automatically for VMs deployed with iCE but users can manually run it on already running VMs to utilise them through iCE. Its IPython shell facilitates the development and execution of experiments. Its main goal is to bring the ease of use and interactiveness of single-machine SSH sessions to virtual clusters."
,FIDO - The dog ate my password,09-20-2015,11:30,12:00,PythonAnywhere Room (CC1.3),,"Alex Willmer

Passwords are a pain for us all - programmers, users and admins alike. How can we reduce that pain, or eliminate it entirely?

This talk will 

 - Introduce [Universal Authentication Framework (UAF) & Universal Second Factor (U2F)][specs]
 - Describe how they streamline authentication, even eliminate passwords entirely
 - Show how to integrate UAF/U2F into a Django web application
 - Summarize the state of support for UAF & U2F in browsers, devices, and the wider world

As an audience member you will

 - Learn how to implement seamless authentication
 - Gain a sense of hope, that you never have type `EH3EX?e)8>6%sZ)48B^l3o08R` again

This talk is a condensed version of [Taking the pain out of passwords and authentication][eptalk], first presented at EuroPython 2015.

[eptalk]: https://ep2015.europython.eu/conference/talks/taking-the-pain-out-of-passwords-and-authentication
[specs]: https://fidoalliance.org/specifications/overview/"
,The Ladder to Python 3,09-20-2015,11:30,12:00,Osper Room (CC1.4),,"Daniel Pope

> ""Python 3.0 final was released on December 3rd, 2008.""
>
> - Python 3.0 Release notes

> ""The End Of Life date (EOL, sunset date) for Python 2.7 has been moved [...]
> to 2020.""
>
> - PEP 373: Python 2.7 Release Schedule

Migrating to Python 3 is not a big bang, it's a sequence of steps, like the
rungs of a ladder that spans from 2008 to 2020.

In 2015, many people still start new projects in Python 2. Many of us are
shackled to Python 2 for work. Some of us don't even have a migration plan.
Many people at this conference, if asked to run ""Python"", will launch Python 2.

Daniel will encourage you to grasp the ladder, put your feet firmly on it, and
take the next step in climbing to Python 3."
,Open Space,09-20-2015,11:30,12:00,LaterPay Learning Space (Bistro),,
,Power: Python in Astronomy,09-20-2015,11:30,12:00,The Software Sustainability Institute Room (CC2.1),,"Tomas James

The universe is a wild and wonderful place. From the quantum mechanical effects that power the Sun, to the gravitational effects that suck everything in to a black hole, one thing links them all: they can all be analysed using Python.

Python’s clear syntax and extensibility makes it an incredibly usable and streamlined language for scientists. We’ll cover off exactly how scientists use Python, what Python can do that other languages can’t (and where it sometimes falls short), and just how Python can be used at home to generate beautiful astronomical images."
,PyCon UK Jobs Fair,09-20-2015,12:00,14:00,PythonAnywhere Room (CC1.3),,
,Single Board Computer HackSpace,09-20-2015,12:00,13:00,Osper Room (CC1.4),,
,Open Space,09-20-2015,12:00,12:30,LaterPay Learning Space (Bistro),,
,Pythons and Earthquakes,09-20-2015,12:00,12:30,The Software Sustainability Institute Room (CC2.1),,"Girish Kumar

This is a session we will cover how python is used in providing near-real-time maps of landslide hazard following large earthquakes. And to dig detail on tool we build called 'shakeslide' for post-distaster response, analysis and research. 

By end of this session my audience will be enriched by the potential of python programming language and its contribution in the solving some of the serious issues in today's world, in field of research. I will also discuss the process of  how research paper was converted into functional web application and its impact of doing that. Hopefully, this talk should motivate PhD students and research staff in using python for their projects and helps them to realise their potential impact they could make in their research application."
,Event-Sourced Domain Models in Python,09-20-2015,12:30,15:00,YPlan Room (CC1.8),,"Robert Smallshire

#### Preparation

 * This is a *work*shop, not a lecture, so come with a laptop or pair-up with
 somebody who has one.

 * This workshop requires at least [Python 3.4](https://www.python.org/downloads/) so you should have a suitable interpreter installed.

 * Bring your favourite Python code editor.

 * Have the [workshop student materials](https://bitbucket.org/sixty-north/d5-workshop-exercises-student-material) installed from Bitbucket. Further instructions are to be found there.

#### Synopsis

In first part of this workshop we explore how to implement rich domain models using plain-old Python objects which are completely independent of any particular persistence technology such as an object-relational mapper.  Domain models often embody the core value of software systems, so implementing models independently of - often ephemeral - technology choices is an important strategy for long-lived, high-value systems.

In the second part of this workshop we implement an event-sourced architecture for persistence of our domain model, whereby all changes applied to the model are recorded as events in a simple, append-only event-store.  From this event store we can reconstitute the model state as it was at any historical time, something that is difficult – if not impossible – to do with most object-relational solutions.  Furthermore, we can project the event stream into other representations to support queries which are not conveniently supported by the entities in our model, or which roll-up historical data. Among many other benefits, such projected read-models gives very high scalability on the read-side.

This workshop is aimed at Python developers who want to step beyond the limits of canned framework-based solutions such as Django models, or toolkits such as SQLAlchemy, (which are ultimately about managing the horrors of shared-mutable state).  Event-sourced domain models facilitate allow us to combine the best aspects of object-oriented design with robust and simple persistence inspired by functional-programming practice."
,Open Space,09-20-2015,12:30,13:00,LaterPay Learning Space (Bistro),,
,Lunch,09-20-2015,12:30,13:30,The Software Sustainability Institute Room (CC2.1),,
,Lunchtime Event Spare Slot,09-20-2015,13:00,14:00,Osper Room (CC1.4),,
,Open Space,09-20-2015,13:00,13:30,LaterPay Learning Space (Bistro),,
,Open Space,09-20-2015,13:30,14:00,LaterPay Learning Space (Bistro),,
,Getting meaning from scientific articles,09-20-2015,13:30,14:00,The Software Sustainability Institute Room (CC2.1),,"Eleonore Mayola

The bibliography process means every scientist regularly has to go through a lot of published articles in parallel to her/his research. The aim is 1) to know what other researchers are doing: they might be ahead of you, they might have proven your project is a dead end, 2) get some context to interpret your research results. 
Using specialised search engines can be inefficient if you don't use the ""right"" keywords. Researcher also tend to find bibliography boring so it would be interesting to automate part of the process!

In my talk I'll answer the following question: can Python machine learning libraries (nltk, scikit-learn) be used to 
determine whether a research article is worth reading? I'll use the Natural Language Processing to identify articles topics and train a classifier to distinguish between relevant and non-relevant articles depending and someone's area of research."
,"Python and the terminal - Input, Output, Pipes and Snakes",09-20-2015,14:00,14:30,PythonAnywhere Room (CC1.3),,"Tom Viner

The first half will look at how Python interacts with keyboard and command line *input*
- Reading standard input and command line arguments
- The built-in fileinput module: ""Iterate over lines from multiple input streams"", from pipe or via filename like GNU utils `cat` or `diff` do
- Reading keys in non-blocking mode: ascii one-d snake!

Then we'll look at the powers of Python in printing *output* to the screen
- Terminal colours
- The legacy of teleprinter output: overcoming the printed page metaphor
- Control characters: magic manipulation of the console

And we'll see various library modules that can help us along the way."
,Getting schemas around semi-structured data using Avro,09-20-2015,14:00,14:30,Osper Room (CC1.4),,"Konark Modi

In this world of big-data where we are producing data of enormous variety, velocity, volume and the nature being semi-structured we need to put some rules around data being collected which are not rigid yet allow efficient management of it right from collection layer.

My talk is based on first-hand experience that me and my team had while writing frameworks and data pipelines , we like anyone else started with collecting data in JSON format. But soon started to run into problems because of systems which were writing the data were abusing the flexibility.

More importantly how we can leverage Python with this and makes it interoperable with various Big Data techologies.

Schemas  / Serialization is a layer not many people talk about , but in my experience it is very useful and one can benefit from it in many many ways.


The agenda of the talk is as follows :

1. Need of a schema / serialization.
2. Avro and why is it so awesome.
3. Demo of creating some schemas and showcasing the features.
4. How Avro serialized data can be used across different layers / tools in the BigData pipeline. Be it Realtime processing system like Kafka with Storm or Batch processing system like Hadoop, Hive etc.
5. Setting up your AVRO schema repository to help people create, distrubute and manage schemas. A pure Django based implementation.
6.  Do's and Don'ts .


Who should Attend :

I plan to keep it beginner friendly, any one who has been or is doing data collection at any level can benefit from this talk."
,Open Space,09-20-2015,14:00,15:00,LaterPay Learning Space (Bistro),,
,Demo: Simple web services for scientific data,09-20-2015,14:00,14:30,The Software Sustainability Institute Room (CC2.1),,"Alys Brett, Culham Centre for Fusion Energy

Would you like to let people access your data over the web or generate plots on
the fly when someone loads a web page? This session will introduce the benefits
of creating web services for accessing scientific data and let you try out the
basics for yourself.

It is now common for online companies to provide programmatic access to data -
web APIs where data resources in many forms can be accessed via a URL. This
approach can be very useful for scientific data too. One benefit is that you
don't have to worry about what platforms and languages to support - the data can
be used by anything that can make HTTP requests. You might think that creating
this kind of web service is solely the preserve of professional engineers but,
with the power of Python, this is changing. There are very convenient packages
(such as Flask and Requests) that make it incredibly simple to get started.

The session will start with a demonstration of some web services we've developed
for nuclear fusion data from the JET experiment, including a plot server and a
data browsing tool. This will be followed by a mini-tutorial to help you get
started with harnessing the power of HTTP web services."
,Data Visualisation with Python and Javascript - crafting a data-visualisation for the web,09-20-2015,14:30,15:00,PythonAnywhere Room (CC1.3),,"Kyran Dale

To accompany an upcoming O'Reilly book 'Data-visualisation with Python and Javascript: crafting a dataviz toolchain for the web' (see here) this talk aims to sketch out the toolchain by transforming some dry Wikipedia data (Nobel prize-winners) into a far more engaging and insightful web-visualisation. This transformative cycle uses Python big-hitters such as Scrapy, Pandas and Flask, the latter delivering data to Javascript's D3. These are the industrial lathes of the toolchain but Python's fantastic standard library and all those first class data-munging libraries are involved, the spanners, hammers and screwdrivers of the toolchain.

While Python is fast becoming the goto language for data-processing/science, the visual fruits of that labour hit the wall of the web, where there is only one first-class language, Javascript. To develop a data-viz toolchain for the modern world, where web-presentation is increasingly mandated, making Python and Javascript play nicely is fundamental. This talk aims to show that the perceived wall between the two languages is actually a thin, permeable membrane and that, with a bare minimum of web-dev, one can get on with programming seamlessly in both."
,Analyse Yourselves,09-20-2015,14:30,15:00,Osper Room (CC1.4),,"Norberto Leite

Abstract: In today's mundane usage of digital services, from ecommerce to day-to-day email, one might imagine that we generate a considerable amount of data. We access the internet, our phones are constantly generating information and sharing that with services, sometimes without us being total aware of such, and even our household appliances are starting to become more and more self sufficient and connected, the so called internet of things or internet of everything. Can we start getting in control of that data? What tools do we have available to start getting a sense of what's the size/shape/kind of data that we generate? Where does it come from and where do we send it to?
Although the talk title might suggestion topics around introspection and psychoanalysis we are not going to get into that (not in psychological ground at least) but we will look into in which ways could we build small sets of applications that could give us a better sense of our digital footprint and content that flows at our broadband connection. We will be analysing samples of email, internet traffic, webapps and mobile apps data connections and inflows.

Learning objectives:
Use simple python libraries we will be looking into what we can do tap on our devices and keep track of our digital inflows like scapy and httplib2
Tools available to analyse and store and this data, mostly around pandas and mongodb
Libraries to present and visualize this information like seaborn and matplotlib
Tools for predictive analytics like anaconda. 

This is practical session where we will be discussing some of these general aspects of the data crossing ""our pipes"" and what we can do with that to learn a bit more of ourselves or which type of interactions do we do in a quantifiable manner.

We will be using quantifiable and measurable traffic from several different feeds including your facebook timeline, twitter feeds, email and internet traffic."
,Discussion: From data to dissemination - dealing with publications,09-20-2015,14:30,15:15,The Software Sustainability Institute Room (CC2.1),,"Discussion: From data to dissemination: dealing with publications

A major theme for anyone in working research is how best to publish and
disseminate their work. These days a wide range of tools are available to help,
at every stage of the writing process - from great Python libraries for
charting, to online bibliography tool and LaTeX packages to beautify your
papers. This panel discussion will cover all aspects of dissemination work,
and how Python can ease your publication pain.

Panel members will be announced nearer the time of the conference."
,Plenary,09-20-2015,15:00,15:15,PythonAnywhere Room (CC1.3),,
,The PyCon UK Panel,09-20-2015,15:15,16:00,PythonAnywhere Room (CC1.3),,
,The Lightning Talk Show,09-20-2015,16:00,17:30,PythonAnywhere Room (CC1.3),,
,The Non-Closing Closing,09-20-2015,17:30,18:00,PythonAnywhere Room (CC1.3),,
,End of Day,09-20-2015,18:00,19:30,PythonAnywhere Room (CC1.3),,
,The Mellow Night,09-20-2015,19:30,23:59,PythonAnywhere Room (CC1.3),,
,Sprint Opening,09-21-2015,09:30,10:00,Sprint Rooms,,
,"Sprints are collaborative programming groups. The Sprints that have been proposed so far are: Python for Science sprint Don't be afraid to commit Unit test documentation improvements Axelrod - sprint/tournament - code up strategies, get famous Improving the Myrmidon Python game framework py.test sprint Romaine (BDD tool) MicroPython / BBC micro:bit Pylint sprint Pi In The Sky",09-21-2015,10:00,12:30,Sprint Rooms,,
,"The Last Meal - we share a final meal of Fish and Chips together (plus vegetarian options, etc)",09-21-2015,12:30,13:30,Sprint Rooms,,
,Sprints (Continued),09-21-2015,13:30,16:00,Sprint Rooms,,
,Share results together,09-21-2015,16:00,17:00,Sprint Rooms,,
,"End of Conference, pack up, see you in 2016!",09-21-2015,17:00,23:59,Sprint Rooms,,
